,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
45,44,"Sat, Jan 14, 2023",7:00p,,Box Score,,Memphis Grizzlies,L,,112,130,23,21,L 3,
46,45,"Mon, Jan 16, 2023",2:30p,,Box Score,@,Milwaukee Bucks,L,,119,132,23,22,L 4,
47,46,"Wed, Jan 18, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,106,126,23,23,L 5,
48,47,"Fri, Jan 20, 2023",9:00p,,Box Score,@,Denver Nuggets,L,,111,134,23,24,L 6,
49,48,"Sat, Jan 21, 2023",9:00p,,Box Score,@,Phoenix Suns,L,,107,112,23,25,L 7,
50,49,"Tue, Jan 24, 2023",7:00p,,Box Score,,Chicago Bulls,W,,116,110,24,25,W 1,
51,50,"Wed, Jan 25, 2023",7:00p,,Box Score,@,Orlando Magic,L,,120,126,24,26,L 1,
52,51,"Fri, Jan 27, 2023",7:00p,,Box Score,,Milwaukee Bucks,L,,131,141,24,27,L 2,
53,52,"Sun, Jan 29, 2023",6:00p,,Box Score,@,Memphis Grizzlies,L,,100,112,24,28,L 3,
54,53,"Thu, Feb 2, 2023",7:00p,,Box Score,,Los Angeles Lakers,L,,111,112,24,29,L 4,
55,54,"Fri, Feb 3, 2023",7:00p,,Box Score,,Sacramento Kings,W,,107,104,25,29,W 1,
56,55,"Sun, Feb 5, 2023",5:00p,,Box Score,,Cleveland Cavaliers,L,,103,122,25,30,L 1,
57,56,"Wed, Feb 8, 2023",7:30p,,Box Score,@,Miami Heat,L,,111,116,25,31,L 2,
58,57,"Fri, Feb 10, 2023",7:00p,,Box Score,,Phoenix Suns,L,,104,117,25,32,L 3,
59,58,"Sat, Feb 11, 2023",7:00p,,Box Score,@,Washington Wizards,L,,113,127,25,33,L 4,
60,59,"Mon, Feb 13, 2023",7:00p,,Box Score,,Utah Jazz,L,,117,123,25,34,L 5,
61,60,"Wed, Feb 15, 2023",7:00p,,Box Score,,Chicago Bulls,W,,117,113,26,34,W 1,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Thu, Feb 23, 2023",7:00p,,Box Score,,Boston Celtics,L,OT,138,142,26,35,L 1,
64,62,"Sat, Feb 25, 2023",7:00p,,Box Score,@,Orlando Magic,W,,121,108,27,35,W 1,
65,63,"Tue, Feb 28, 2023",8:30p,,Box Score,@,Dallas Mavericks,W,,124,122,28,35,W 2,
66,64,"Thu, Mar 2, 2023",8:30p,,Box Score,@,San Antonio Spurs,L,,99,110,28,36,L 1,
67,65,"Sun, Mar 5, 2023",3:30p,,Box Score,@,Chicago Bulls,W,,125,122,29,36,W 1,
68,66,"Mon, Mar 6, 2023",7:00p,,Box Score,,Philadelphia 76ers,L,,143,147,29,37,L 1,
69,67,"Thu, Mar 9, 2023",7:00p,,Box Score,,Houston Rockets,W,OT,134,125,30,37,W 1,
70,68,"Sat, Mar 11, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,121,115,31,37,W 2,
71,69,"Mon, Mar 13, 2023",7:00p,,Box Score,@,Detroit Pistons,L,,97,117,31,38,L 1,
72,70,"Thu, Mar 16, 2023",8:00p,,Box Score,@,Milwaukee Bucks,W,,139,123,32,38,W 1,
73,71,"Sat, Mar 18, 2023",7:00p,,Box Score,,Philadelphia 76ers,L,,121,141,32,39,L 1,
74,72,"Mon, Mar 20, 2023",7:00p,,Box Score,@,Charlotte Hornets,L,,109,115,32,40,L 2,
75,73,"Wed, Mar 22, 2023",7:30p,,Box Score,@,Toronto Raptors,W,,118,114,33,40,W 1,
76,74,"Fri, Mar 24, 2023",7:00p,,Box Score,@,Boston Celtics,L,,95,120,33,41,L 1,
77,75,"Sat, Mar 25, 2023",5:00p,,Box Score,@,Atlanta Hawks,L,,130,143,33,42,L 2,
78,76,"Mon, Mar 27, 2023",7:00p,,Box Score,,Dallas Mavericks,L,,104,127,33,43,L 3,
79,77,"Wed, Mar 29, 2023",7:00p,,Box Score,,Milwaukee Bucks,L,,136,149,33,44,L 4,
80,78,"Fri, Mar 31, 2023",7:00p,,Box Score,,Oklahoma City Thunder,W,,121,117,34,44,W 1,
81,79,"Sun, Apr 2, 2023",8:00p,,Box Score,@,Cleveland Cavaliers,L,,105,115,34,45,L 1,
82,80,"Wed, Apr 5, 2023",7:00p,,Box Score,,New York Knicks,L,,129,138,34,46,L 2,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Fri, Apr 7, 2023",7:00p,,Box Score,,Detroit Pistons,L,,115,122,34,47,L 3,
85,82,"Sun, Apr 9, 2023",1:00p,,Box Score,@,New York Knicks,W,,141,136,35,47,W 1,
