,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
34,34,"Sun, Dec 25, 2022",5:00p,,Box Score,,Milwaukee Bucks,W,,139,118,24,10,W 2,
35,35,"Tue, Dec 27, 2022",7:30p,,Box Score,,Houston Rockets,W,,126,102,25,10,W 3,
36,36,"Thu, Dec 29, 2022",7:30p,,Box Score,,Los Angeles Clippers,W,,116,110,26,10,W 4,
37,37,"Sun, Jan 1, 2023",8:00p,,Box Score,@,Denver Nuggets,L,,111,123,26,11,L 1,
38,38,"Tue, Jan 3, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,117,150,26,12,L 2,
39,39,"Thu, Jan 5, 2023",7:30p,,Box Score,@,Dallas Mavericks,W,,124,95,27,12,W 1,
40,40,"Sat, Jan 7, 2023",6:00p,,Box Score,@,San Antonio Spurs,W,,121,116,28,12,W 2,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Mon, Jan 9, 2023",7:30p,,Box Score,,Chicago Bulls,W,,107,99,29,12,W 3,
43,42,"Wed, Jan 11, 2023",7:30p,,Box Score,,New Orleans Pelicans,W,,125,114,30,12,W 4,
44,43,"Thu, Jan 12, 2023",7:30p,,Box Score,@,Brooklyn Nets,W,,109,98,31,12,W 5,
45,44,"Sat, Jan 14, 2023",7:00p,,Box Score,@,Charlotte Hornets,W,,122,106,32,12,W 6,
46,45,"Mon, Jan 16, 2023",1:00p,,Box Score,@,Charlotte Hornets,W,,130,118,33,12,W 7,
47,46,"Thu, Jan 19, 2023",7:30p,,Box Score,,Golden State Warriors,W,OT,121,118,34,12,W 8,
48,47,"Sat, Jan 21, 2023",5:00p,,Box Score,@,Toronto Raptors,W,,106,104,35,12,W 9,
49,48,"Mon, Jan 23, 2023",7:00p,,Box Score,@,Orlando Magic,L,,98,113,35,13,L 1,
50,49,"Tue, Jan 24, 2023",7:30p,,Box Score,@,Miami Heat,L,,95,98,35,14,L 2,
51,50,"Thu, Jan 26, 2023",7:30p,,Box Score,,New York Knicks,L,OT,117,120,35,15,L 3,
52,51,"Sat, Jan 28, 2023",8:30p,,Box Score,,Los Angeles Lakers,W,OT,125,121,36,15,W 1,
53,52,"Wed, Feb 1, 2023",7:30p,,Box Score,,Brooklyn Nets,W,,139,96,37,15,W 2,
54,53,"Fri, Feb 3, 2023",7:30p,,Box Score,,Phoenix Suns,L,,94,106,37,16,L 1,
55,54,"Mon, Feb 6, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,111,99,38,16,W 1,
56,55,"Wed, Feb 8, 2023",7:30p,,Box Score,,Philadelphia 76ers,W,,106,99,39,16,W 2,
57,56,"Fri, Feb 10, 2023",7:30p,,Box Score,,Charlotte Hornets,W,,127,116,40,16,W 3,
58,57,"Sun, Feb 12, 2023",2:00p,,Box Score,,Memphis Grizzlies,W,,119,109,41,16,W 4,
59,58,"Tue, Feb 14, 2023",7:30p,,Box Score,@,Milwaukee Bucks,L,OT,125,131,41,17,L 1,
60,59,"Wed, Feb 15, 2023",7:30p,,Box Score,,Detroit Pistons,W,,127,109,42,17,W 1,
61,60,"Thu, Feb 23, 2023",7:00p,,Box Score,@,Indiana Pacers,W,OT,142,138,43,17,W 2,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Sat, Feb 25, 2023",8:30p,,Box Score,@,Philadelphia 76ers,W,,110,107,44,17,W 3,
64,62,"Mon, Feb 27, 2023",7:30p,,Box Score,@,New York Knicks,L,,94,109,44,18,L 1,
65,63,"Wed, Mar 1, 2023",7:30p,,Box Score,,Cleveland Cavaliers,W,,117,113,45,18,W 1,
66,64,"Fri, Mar 3, 2023",7:30p,,Box Score,,Brooklyn Nets,L,,105,115,45,19,L 1,
67,65,"Sun, Mar 5, 2023",7:30p,,Box Score,,New York Knicks,L,2OT,129,131,45,20,L 2,
68,66,"Mon, Mar 6, 2023",7:00p,,Box Score,@,Cleveland Cavaliers,L,OT,114,118,45,21,L 3,
69,67,"Wed, Mar 8, 2023",7:30p,,Box Score,,Portland Trail Blazers,W,,115,93,46,21,W 1,
70,68,"Sat, Mar 11, 2023",7:30p,,Box Score,@,Atlanta Hawks,W,,134,125,47,21,W 2,
71,69,"Mon, Mar 13, 2023",8:00p,,Box Score,@,Houston Rockets,L,,109,111,47,22,L 1,
72,70,"Wed, Mar 15, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,W,,104,102,48,22,W 1,
73,71,"Fri, Mar 17, 2023",10:00p,,Box Score,@,Portland Trail Blazers,W,,126,112,49,22,W 2,
74,72,"Sat, Mar 18, 2023",9:00p,,Box Score,@,Utah Jazz,L,,117,118,49,23,L 1,
75,73,"Tue, Mar 21, 2023",10:00p,,Box Score,@,Sacramento Kings,W,,132,109,50,23,W 1,
76,74,"Fri, Mar 24, 2023",7:00p,,Box Score,,Indiana Pacers,W,,120,95,51,23,W 2,
77,75,"Sun, Mar 26, 2023",6:00p,,Box Score,,San Antonio Spurs,W,,137,93,52,23,W 3,
78,76,"Tue, Mar 28, 2023",7:00p,,Box Score,@,Washington Wizards,L,,111,130,52,24,L 1,
79,77,"Thu, Mar 30, 2023",7:30p,,Box Score,@,Milwaukee Bucks,W,,140,99,53,24,W 1,
80,78,"Fri, Mar 31, 2023",7:30p,,Box Score,,Utah Jazz,W,,122,114,54,24,W 2,
81,79,"Tue, Apr 4, 2023",8:00p,,Box Score,@,Philadelphia 76ers,L,,101,103,54,25,L 1,
82,80,"Wed, Apr 5, 2023",7:30p,,Box Score,,Toronto Raptors,W,,97,93,55,25,W 1,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Fri, Apr 7, 2023",7:30p,,Box Score,,Toronto Raptors,W,,121,102,56,25,W 2,
85,82,"Sun, Apr 9, 2023",1:00p,,Box Score,,Atlanta Hawks,W,,120,114,57,25,W 3,
